0:14:6,57.25,56,88,4.4,18,-1.25,-2892.0,-0.25,-12839.3
0:14:11,56.25,56,88,4.4,18,-0.25,-2896.75,1.0,-12749.7
0:14:16,56.75,56,88,4.4,18,-0.75,-2900.25,-0.25,-12831.6
0:14:21,56.25,56,88,4.4,18,-0.25,-2904.0,0.5,-12790.6
0:14:26,56.5,56,88,4.4,18,-0.5,-2906.75,-0.5,-12842.7
0:14:31,56.0,56,88,4.4,18,0.0,-2909.0,0.5,-12790.6
0:14:36,56.75,56,88,4.4,18,-0.75,-2911.25,-0.25,-12880.0
0:14:41,56.0,56,88,4.4,18,0.0,-2913.0,0.75,-12803.7
0:14:46,56.5,56,88,4.4,18,-0.5,-2915.25,0.0,-12871.1
0:14:51,56.5,56,88,4.4,18,-0.5,-2918.0,0.25,-12878.7
0:14:56,56.5,56,88,4.4,18,-0.5,-2920.0,0.0,-12892.0
0:15:1,56.5,56,88,4.4,18,-0.5,-2922.75,0.0,-12904.1
0:15:6,56.75,56,88,4.4,18,-0.75,-2925.25,-0.25,-12941.6
0:15:11,56.25,56,88,4.4,18,-0.25,-2928.0,0.25,-12900.7
0:15:16,56.25,56,88,4.4,18,-0.25,-2928.5,0.25,-12902.9
0:15:21,56.0,56,88,4.4,18,0.0,-2928.75,0.0,-12886.5
0:15:26,55.75,56,88,4.4,18,0.25,-2928.75,0.5,-12855.5
0:15:31,56.25,56,88,4.4,18,-0.25,-2928.25,-0.25,-12910.8
0:15:36,56.25,56,88,4.4,18,-0.25,-2929.25,0.0,-12910.7
0:15:41,56.0,56,88,4.4,18,0.0,-2928.5,0.0,-12885.4
0:15:46,55.75,56,88,4.4,18,0.25,-2928.0,0.25,-12856.7
0:15:51,56.0,56,88,4.4,18,0.0,-2927.0,-0.25,-12883.3
0:15:56,55.75,56,88,4.4,18,0.25,-2925.75,0.5,-12842.3
0:16:1,56.25,56,88,4.4,18,-0.25,-2926.0,-0.25,-12900.9
0:16:6,56.0,56,88,4.4,18,0.0,-2925.5,0.0,-12872.2
0:16:11,55.75,56,88,4.4,18,0.25,-2924.25,0.0,-12844.7
0:16:16,56.0,56,88,4.4,18,0.0,-2924.25,0.0,-12866.7
0:16:21,55.25,56,88,4.4,18,0.75,-2921.5,0.25,-12784.1
0:16:26,55.25,56,88,4.4,18,0.75,-2919.75,0.5,-12771.9
0:16:31,56.0,56,88,4.4,18,0.0,-2917.75,-0.75,-12851.6
0:16:36,55.75,56,88,4.4,18,0.25,-2916.5,0.0,-12810.6
0:16:41,55.5,56,88,4.4,18,0.5,-2915.0,0.0,-12782.0
0:16:46,55.0,56,88,4.4,18,1.0,-2911.75,0.25,-12719.2
0:16:51,55.25,56,88,4.4,18,0.75,-2909.0,0.25,-12729.1
0:16:56,55.5,56,88,4.4,18,0.5,-2906.0,0.0,-12742.4
0:17:1,55.5,56,88,4.4,18,0.5,-2903.25,0.0,-12730.3
0:17:6,55.75,56,88,4.4,18,0.25,-2901.25,0.0,-12743.5
0:17:11,55.25,56,88,4.4,18,0.75,-2897.0,-0.25,-12685.3
0:17:16,55.0,56,88,4.4,18,1.0,-2893.5,0.5,-12634.4
0:17:21,55.25,56,88,4.4,18,0.75,-2890.0,0.0,-12650.0
0:17:26,55.25,56,88,4.4,18,0.75,-2886.0,0.0,-12632.4
0:17:31,54.25,56,88,4.4,18,1.75,-2881.0,1.0,-12504.4
0:17:36,55.25,56,88,4.4,18,0.75,-2875.75,-0.25,-12591.8
0:17:41,55.25,56,88,4.4,18,0.75,-2870.75,-0.5,-12574.3
0:17:46,55.0,56,88,4.4,18,1.0,-2865.5,-0.25,-12524.7
0:17:51,55.0,56,88,4.4,18,1.0,-2860.25,0.0,-12497.1
0:17:56,55.0,56,88,4.4,18,1.0,-2855.25,0.0,-12475.1
0:18:1,55.0,56,88,4.4,18,1.0,-2848.75,0.0,-12446.5
0:18:6,54.75,56,88,4.4,18,1.25,-2843.75,0.25,-12398.0
0:18:11,54.5,56,88,4.4,18,1.5,-2837.25,0.25,-12347.4
0:18:16,54.5,56,88,4.4,18,1.5,-2830.75,-0.25,-12327.8
0:18:21,55.0,56,88,4.4,18,1.0,-2824.5,0.0,-12339.8
0:18:26,54.75,56,88,4.4,18,1.25,-2818.0,0.0,-12289.2
0:18:31,54.75,56,88,4.4,18,1.25,-2811.0,0.0,-12258.4
0:18:36,55.0,56,88,4.4,18,1.0,-2805.0,-0.25,-12258.5
0:18:41,54.75,56,88,4.4,18,1.25,-2798.25,0.0,-12202.3
0:18:46,54.5,56,88,4.4,18,1.5,-2790.75,0.25,-12142.8
0:18:51,54.0,56,88,4.4,18,2.0,-2782.75,0.5,-12059.1
0:18:56,54.5,56,88,4.4,18,1.5,-2774.75,0.0,-12076.9
0:19:1,54.0,56,88,4.4,18,2.0,-2767.0,0.75,-11985.3
0:19:6,54.0,56,88,4.4,18,2.0,-2758.5,0.5,-11952.4
0:19:11,54.5,56,88,4.4,18,1.5,-2750.75,0.0,-11971.3
0:19:16,54.5,56,88,4.4,18,1.5,-2743.5,0.0,-11939.4
0:19:21,54.0,56,88,4.4,18,2.0,-2735.25,0.5,-11850.1
0:19:26,54.25,56,88,4.4,18,1.75,-2727.0,0.5,-11835.8
0:19:31,54.5,56,88,4.4,18,1.5,-2718.25,-0.25,-11832.8
0:19:36,54.0,56,88,4.4,18,2.0,-2709.0,0.25,-11739.1
0:19:41,54.0,56,88,4.4,18,2.0,-2699.0,-0.5,-11708.6
0:19:46,54.0,56,88,4.4,18,2.0,-2690.0,0.25,-11655.5
0:19:51,53.75,56,88,4.4,18,2.25,-2679.75,0.25,-11588.4
0:19:56,53.75,56,88,4.4,18,2.25,-2669.25,0.0,-11546.7
0:20:1,53.75,56,88,4.4,18,2.25,-2658.0,0.25,-11492.7
0:20:6,53.5,56,88,4.4,18,2.5,-2647.0,0.25,-11422.3
0:20:11,53.75,56,88,4.4,18,2.25,-2636.0,0.0,-11400.4
0:20:16,54.0,56,88,4.4,18,2.0,-2625.0,-0.75,-11387.5
0:20:21,53.5,56,88,4.4,18,2.5,-2613.75,0.25,-11276.0
0:20:26,53.5,56,88,4.4,18,2.5,-2602.25,0.0,-11229.9
0:20:31,54.0,56,88,4.4,18,2.0,-2592.0,0.0,-11228.8
0:20:36,54.0,56,88,4.4,18,2.0,-2581.5,-0.25,-11187.1
0:20:41,53.5,56,88,4.4,18,2.5,-2569.25,0.25,-11080.2
